k,p
6.623490146942409,0.001
5.667640765540698,0.001
5.579338945131191,0.001
7.311633968761633,0.001
7.815899818785109,0.001
6.4741342759297185,0.001
6.0862199130075485,0.001
5.333835346989843,0.001
4.850746217747397,0.001
4.994408843787869,0.001
4.207478455625283,0.001
6.4374175435695875,0.001
7.058979024453113,0.001
6.692988372726407,0.001
5.955287406607683,0.001
5.001021844526589,0.001
5.956150515175767,0.001
6.356049680802849,0.001
6.180967903280192,0.001
6.173591415522867,0.001
4.994233618404877,0.001
5.768235849455226,0.001
5.556058965270829,0.001
6.144891912481127,0.001
6.661869460708575,0.001
5.416214971356886,0.001
7.193500375404464,0.001
6.231321041240096,0.001
7.16956414543552,0.001
5.199444081349315,0.001
6.474277653355459,0.001
6.513114419819977,0.001
5.663002053876724,0.001
5.498918446352335,0.001
5.992550542819921,0.001
6.563247191176071,0.001
5.988408763048879,0.001
6.447539867733151,0.001
6.0226026095950465,0.001
6.316498409106082,0.001
4.709549350047391,0.001
6.389756714400993,0.001
5.834040505099031,0.001
6.5581579820933,0.001
6.019075245708796,0.001
6.252324113739623,0.001
6.395424363450501,0.001
4.827535742107061,0.001
5.490231149466025,0.001
6.284193201416103,0.001
4.53181106263449,0.001
4.460926105302225,0.001
5.038967133305546,0.001
5.664143085707235,0.001
5.432764785542514,0.001
6.286418847900593,0.001
6.197506208549228,0.001
6.164196338011851,0.001
6.469900624543924,0.001
6.018566492772659,0.001
5.141907170153031,0.001
5.33970525472579,0.001
5.818110376441385,0.001
6.016044744880179,0.001
6.3015165936471105,0.001
6.216541577256864,0.001
6.09063508644183,0.001
5.705106868905683,0.001
5.4392906973936634,0.001
6.231038676038086,0.001
6.021344743809319,0.001
6.0936268603315975,0.001
4.968913094526719,0.001
6.075622214171792,0.001
5.557184334793957,0.001
5.525745447084801,0.001
5.60025090835499,0.001
5.250061425818928,0.001
6.0962594541546276,0.001
6.691892306534339,0.001
5.62116870200953,0.001
6.125225235305404,0.001
7.155770356322386,0.001
5.4149330873659975,0.001
6.841585506682946,0.001
6.458195702783728,0.001
5.359193061604041,0.001
6.284479478235026,0.001
5.712984532409299,0.001
4.112521629084764,0.001
3.6359178617568486,0.001
4.1373911057761426,0.001
5.12948986497545,0.001
5.010754994225537,0.001
4.729681920343289,0.001
5.268643415895802,0.001
5.9610849487399475,0.001
7.0586672545280225,0.001
5.559069289135459,0.001
6.121043589228059,0.001
6.312694564664294,0.001
7.0961585812310615,0.001
6.020479028227178,0.001
6.638915685952287,0.001
4.728400039443148,0.001
6.502196457268738,0.001
7.289577050447489,0.001
5.703707360449808,0.001
4.003399043238291,0.001
5.1602831038680295,0.001
5.039490176555547,0.001
5.726419299478489,0.001
6.084211010508282,0.001
6.02848808162578,0.001
5.801788213660342,0.001
5.7765075420672245,0.001
5.822387238266282,0.001
4.884493401417826,0.001
6.625315297591902,0.001
5.783544199163683,0.001
4.558206042884731,0.001
6.5037392364818665,0.001
6.2910465161707325,0.001
6.226449501076945,0.001
6.19890963111908,0.001
5.08385120984108,0.001
5.20784141925992,0.001
6.320492287894069,0.001
