Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
47	-2014.7503395771703	-1953.0157715596033	-61.73456801756704	-1953.0157715596033	23.53751464693846	1.0	0.005899763550955919	0.25069662375673263	0.7580144673265774	0.24198553267342438	0.05140783405647872	-56.048005755493946	0.23951227650423845	0.10033825936605263	0.15740599926556043	26.518328816209767	1.0	-3.891820298110627	5.300000000000274	
48	-2007.4533484642536	-1952.8500511040688	-54.6032973601848	-1952.8500511040688	25.731950717176126	1.0	0.059312875396273425	0.16466915040848482	0.7549748273347139	0.2450251726652878	0.05610007930718431	-49.324627810099436	0.16097253305385487	0.47249911780109244	0.028592169861555095	27.590538845998356	1.0	-3.891820298110627	5.300000000000274	
49	-1991.8480202216008	-1951.8649892044311	-39.983031017169736	-1951.8649892044311	17.3123199431423	1.0	0.006352333930687828	0.23934974459189717	0.7621780967948414	0.23782190320516053	0.09450627672798022	-34.3416052476214	0.07104693440131317	0.8854460334102383	0.01172246019803678	17.9416903280216	1.0	-3.891820298110627	5.300000000000278	
50	-2015.7233696102594	-1951.8231126191379	-63.90025699112141	-1951.8231126191379	34.486862602944726	1.0	0.007146588340618114	0.22980020998451636	0.7466689240921455	0.25333107590785636	0.053263190807073424	-58.2984659661182	0.14581090734272067	0.24257307163585934	0.15813097023298625	37.72721803144389	1.0	-3.891820298110627	5.300000000000285	
51	-2005.8234136960357	-1951.4351544525157	-54.38825924352008	-1951.4351544525157	27.392182706777202	1.0	0.0017225020904542492	0.2545921718608277	0.7757148338754513	0.22428516612455013	0.06230336491644692	-48.6866589956614	0.07326348818957955	0.8374095791447674	0.008042434272769607	46.04216916681	1.0	-3.891820298110627	5.300000000000274	
52	-2002.5389299265305	-1950.92708829021	-51.611841636320534	-1950.92708829021	21.955167428627206	1.0	0.004512007933104451	0.26250982519820737	0.7512440270107007	0.2487559729893006	0.06951262634704333	-45.88035532989685	0.0709686471589427	0.8471006662976625	0.027713274131563236	26.90106226593787	0.0	-3.891820298110627	5.300000000000274	
53	-2029.6576992156542	-1948.370375121536	-81.28732409411832	-1948.370375121536	52.31307962548389	1.0	0.033337386559171504	0.17644355617747196	0.7460154532278795	0.25398454677212234	0.02659265953543544	-75.94186752103198	0.055172196680230885	0.6934386310600072	0.058096529332761805	63.586758657060855	0.0	-3.891820298110627	5.3000000000002885	
54	-2002.9611279579995	-1947.5917855235307	-55.369342434468834	-1947.5917855235307	27.516893483734563	1.0	0.027126803798277647	0.2841661288395981	0.7536983738848827	0.24630162611511924	0.06059878353732647	-49.560383506356715	0.10000894952656396	0.8112153438837281	0.01767408566833365	35.960944597070714	0.0	-3.891820298110627	5.3000000000002885	
55	-2002.9611279579995	-1947.5917855235307	-55.369342434468834	-1947.5917855235307	27.516893483734563	1.0	0.027126803798277647	0.2841661288395981	0.7536983738848827	0.24630162611511924	0.06059878353732647	-49.560383506356715	0.10000894952656396	0.8112153438837281	0.01767408566833365	35.960944597070714	0.0	-3.891820298110627	5.3000000000002885	
56	-2002.9611279579995	-1947.5917855235307	-55.369342434468834	-1947.5917855235307	27.516893483734563	1.0	0.027126803798277647	0.2841661288395981	0.7536983738848827	0.24630162611511924	0.06059878353732647	-49.560383506356715	0.10000894952656396	0.8112153438837281	0.01767408566833365	35.960944597070714	0.0	-3.891820298110627	5.3000000000002885	
57	-2009.9753452843997	-1947.09487220879	-62.88047307560973	-1947.09487220879	39.18482911339949	1.0	0.00618211791922985	0.12791225499503794	0.7613860963350734	0.23861390366492832	0.06924599305426095	-57.84544331638081	0.13542223000595782	0.6301007593445699	0.0263704151283998	46.69474517745634	0.0	-3.891820298110627	5.300000000000281	
58	-2009.9753452843997	-1947.09487220879	-62.88047307560973	-1947.09487220879	39.18482911339949	1.0	0.00618211791922985	0.12791225499503794	0.7613860963350734	0.23861390366492832	0.06924599305426095	-57.84544331638081	0.13542223000595782	0.6301007593445699	0.0263704151283998	46.69474517745634	0.0	-3.891820298110627	5.300000000000281	
59	-2009.9753452843997	-1947.09487220879	-62.88047307560973	-1947.09487220879	39.18482911339949	1.0	0.00618211791922985	0.12791225499503794	0.7613860963350734	0.23861390366492832	0.06924599305426095	-57.84544331638081	0.13542223000595782	0.6301007593445699	0.0263704151283998	46.69474517745634	0.0	-3.891820298110627	5.300000000000281	
60	-2007.7933285228498	-1947.047725980771	-60.745602542078714	-1947.047725980771	59.59898468222239	1.0	0.004490282017345456	0.19043492694983663	0.7614995578660114	0.23850044213399008	0.05515472401698606	-55.32625279247772	0.0034851034692861215	0.9921010997972078	0.0034503425122731773	67.15669054815697	0.0	-3.891820298110627	5.3000000000002885	
61	-2007.7933285228498	-1947.047725980771	-60.745602542078714	-1947.047725980771	59.59898468222239	1.0	0.004490282017345456	0.19043492694983663	0.7614995578660114	0.23850044213399008	0.05515472401698606	-55.32625279247772	0.0034851034692861215	0.9921010997972078	0.0034503425122731773	67.15669054815697	0.0	-3.891820298110627	5.3000000000002885	
62	-1999.4914549534774	-1946.8874163775404	-52.604038575937054	-1946.8874163775404	29.47963046658011	1.0	0.0049013011037891295	0.17243728285762278	0.7689473110567426	0.2310526889432594	0.07233347951494307	-47.28080169578439	0.06981449772239003	0.8221692341510926	0.019066922531145197	32.02872357461004	1.0	-3.891820298110627	5.300000000000292	
63	-2005.4408398885962	-1946.795044340439	-58.645795548157025	-1946.795044340439	43.242303348278675	1.0	0.00561883767393563	0.20227187343230213	0.7641480228444649	0.2358519771555371	0.058901298677751714	-53.167975056503245	0.08217845073224586	0.8761020853975153	0.0013980251937153302	53.201401802737244	0.0	-3.891820298110627	5.300000000000303	
64	-2000.5545955922378	-1946.3426659607505	-54.21192963148715	-1946.3426659607505	22.026836371439202	1.0	0.012660076258750827	0.20990877285492462	0.7600013224757546	0.23999867752424728	0.07069324292195245	-48.698138145135005	0.2263321989359884	0.015459890203675254	0.6311081411988345	25.898342544652625	1.0	-3.891820298110627	5.300000000000292	
65	-2000.5545955922378	-1946.3426659607505	-54.21192963148715	-1946.3426659607505	22.026836371439202	1.0	0.012660076258750827	0.20990877285492462	0.7600013224757546	0.23999867752424728	0.07069324292195245	-48.698138145135005	0.2263321989359884	0.015459890203675254	0.6311081411988345	25.898342544652625	1.0	-3.891820298110627	5.300000000000292	
