Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	freqParameter.s:level1.1	freqParameter.s:level1.2	freqParameter.s:level2.1	freqParameter.s:level2.2	freqParameter.s:level3.1	freqParameter.s:level3.2	freqParameter.s:level4.1	freqParameter.s:level4.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
20	-1979.6046520132884	-1926.9093324901755	-52.695319523112886	-260.73622045150455	-1025.7716191781085	-561.999531818825	-78.40196104173765	16.993544551583888	0.7821048705374501	1.112098653883316	0.9855702516102463	0.7689891154931865	0.4978260959896184	0.5021739040103785	0.6730541339480248	0.3269458660519748	0.8500384030299745	0.14996159697002667	0.8936664182340963	0.10633358176590249	0.04529255140991722	-48.80349922500226	0.21993394545801886	0.05222837813890248	0.6399902066938162	21.36617025583093	1.0	-3.891820298110627	5.3000000000002245	
21	-1971.7952670638037	-1926.6354043020297	-45.15986276177408	-262.5860126763078	-1028.9317321439303	-560.0429158906842	-75.07474359110759	14.712985598019026	0.5775191315131456	0.9982573322623327	1.2621738249879286	0.8486429199430463	0.5157406669492772	0.48425933305072	0.7287348247020479	0.2712651752979518	0.859795519620388	0.14020448037961308	0.9124266918746247	0.08757330812537462	0.062193631479386884	-41.268042463663456	0.33110258521179126	0.27226092839592764	0.2832166347432158	14.917277062972062	1.0	-3.891820298110627	5.300000000000226	
22	-2000.471811057486	-1926.450879342883	-74.02093171460328	-258.36805794641174	-1029.345531899989	-558.992618319585	-79.74467117689736	46.057138593317504	0.6331553165811501	1.066780038143329	1.1424561398915658	0.7481322595102524	0.5456856296623689	0.4543143703376281	0.7218632254805181	0.27813677451948177	0.8532240658704321	0.14677593412956894	0.9006522360557737	0.09934776394422554	0.02313446589931981	-70.12911141649265	0.03560916697153379	0.8184490173638239	0.03027610063971175	96.77835326389854	0.0	-3.891820298110627	5.3000000000002245	
23	-2000.471811057486	-1926.450879342883	-74.02093171460328	-258.36805794641174	-1029.345531899989	-558.992618319585	-79.74467117689736	46.057138593317504	0.6331553165811501	1.066780038143329	1.1424561398915658	0.7481322595102524	0.5456856296623689	0.4543143703376281	0.7218632254805181	0.27813677451948177	0.8532240658704321	0.14677593412956894	0.9006522360557737	0.09934776394422554	0.02313446589931981	-70.12911141649265	0.03560916697153379	0.8184490173638239	0.03027610063971175	96.77835326389854	0.0	-3.891820298110627	5.3000000000002245	
24	-1985.9129763116614	-1926.1529633940258	-59.76001291763565	-249.01537593879326	-1033.0720930480645	-563.9478013786352	-80.11769302853271	21.163548503379843	0.5591117013232177	1.046367125086393	1.2069978172146887	0.7916792098517741	0.5303933264792342	0.4696066735207624	0.6800306235936291	0.31996937640637063	0.8687129688081046	0.1312870311918965	0.9135642795803286	0.08643572041967018	0.0337840530767607	-55.86819261952502	0.21894939650374234	0.37029524630835337	0.036417911693149424	23.796434980319365	0.0	-3.891820298110627	5.3000000000002245	
25	-1985.9129763116614	-1926.1529633940258	-59.76001291763565	-249.01537593879326	-1033.0720930480645	-563.9478013786352	-80.11769302853271	21.163548503379843	0.5591117013232177	1.046367125086393	1.2069978172146887	0.7916792098517741	0.5303933264792342	0.4696066735207624	0.6800306235936291	0.31996937640637063	0.8687129688081046	0.1312870311918965	0.9135642795803286	0.08643572041967018	0.0337840530767607	-55.86819261952502	0.21894939650374234	0.37029524630835337	0.036417911693149424	23.796434980319365	0.0	-3.891820298110627	5.3000000000002245	
26	-1971.4228806169865	-1925.648058678179	-45.77482193880746	-257.52476454442694	-1030.2259207948773	-561.450396693646	-76.44697664522894	15.206247824666399	0.6698260580165158	1.0414380997065258	1.2140251675052334	0.4727690982272997	0.5186647747988695	0.48133522520112737	0.6994720966645164	0.3005279033354835	0.8516699898544968	0.14833001014550423	0.9397786583422806	0.060221341657718315	0.06591152975823922	-41.88300164069683	0.34895456887455933	0.08597415407883989	0.2760153707445804	21.883665535510865	1.0	-3.891820298110627	5.300000000000226	
27	-1971.4228806169865	-1925.648058678179	-45.77482193880746	-257.52476454442694	-1030.2259207948773	-561.450396693646	-76.44697664522894	15.206247824666399	0.6698260580165158	1.0414380997065258	1.2140251675052334	0.4727690982272997	0.5186647747988695	0.48133522520112737	0.6994720966645164	0.3005279033354835	0.8516699898544968	0.14833001014550423	0.9397786583422806	0.060221341657718315	0.06591152975823922	-41.88300164069683	0.34895456887455933	0.08597415407883989	0.2760153707445804	21.883665535510865	1.0	-3.891820298110627	5.300000000000226	
28	-1971.4228806169865	-1925.648058678179	-45.77482193880746	-257.52476454442694	-1030.2259207948773	-561.450396693646	-76.44697664522894	15.206247824666399	0.6698260580165158	1.0414380997065258	1.2140251675052334	0.4727690982272997	0.5186647747988695	0.48133522520112737	0.6994720966645164	0.3005279033354835	0.8516699898544968	0.14833001014550423	0.9397786583422806	0.060221341657718315	0.06591152975823922	-41.88300164069683	0.34895456887455933	0.08597415407883989	0.2760153707445804	21.883665535510865	1.0	-3.891820298110627	5.300000000000226	
29	-1955.6744884688276	-1925.4340620803955	-30.240426388432155	-258.3069207795982	-1024.6273859217922	-563.0025170737662	-79.49723830523914	8.752774402981084	0.6202482538796746	1.0144445075704813	1.2634665146860056	0.5808799091406724	0.5062507841573651	0.4937492158426319	0.7068668434090211	0.2931331565909788	0.8668226183324621	0.133177381667539	0.9353686067020424	0.06463139329795664	0.09123016977574247	-26.34860609032153	0.14028053548225916	0.8794313243992218	0.017342541613457246	8.91341879120678	1.0	-3.891820298110627	5.300000000000228	
