Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	bcov_alpha.s:level1	bcov_s.s:level1	frequencies.s:level1.1	frequencies.s:level1.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
24	-1966.4406177777473	-1917.2600811282632	-49.180536649484	-260.3576680353427	-999.5565869702888	-575.6224920517676	-81.72333407086387	20.660001491975606	0.5354060817898783	0.8896333414745683	1.4757869516569881	0.6489545618646984	0.004975968714402743	0.28370948181813194	0.7517975250772448	0.24820247492275602	0.09768847589967213	-43.37315123744061	0.23392257025329485	0.1273750783692937	0.45450783598696803	20.808407023181008	1.0	-3.891820298110627	5.300000000000274	
25	-1981.2158721479873	-1917.2573719379109	-63.95850021007632	-262.588248514606	-1007.133489133091	-564.595201743363	-82.940432546851	40.23317009881271	0.5128040409226974	0.9468863213048976	1.429216396187596	0.4813742299921251	0.012763644460142274	0.22634708393032338	0.7701106051036251	0.2298893948963757	0.050037751165947685	-58.37143815165626	0.042275598213463925	0.8889265991526647	0.014980000242273073	46.273523592806946	0.0	-3.891820298110627	5.300000000000281	
26	-1981.2158721479873	-1917.2573719379109	-63.95850021007632	-262.588248514606	-1007.133489133091	-564.595201743363	-82.940432546851	40.23317009881271	0.5128040409226974	0.9468863213048976	1.429216396187596	0.4813742299921251	0.012763644460142274	0.22634708393032338	0.7701106051036251	0.2298893948963757	0.050037751165947685	-58.37143815165626	0.042275598213463925	0.8889265991526647	0.014980000242273073	46.273523592806946	0.0	-3.891820298110627	5.300000000000281	
27	-1966.2403925653439	-1916.784672802938	-49.45571976240585	-265.8527612061804	-1006.1324180034924	-563.6155978501359	-81.1838957431292	19.384321032051083	0.5177742766463173	0.8394956218492964	1.566723941255524	0.6373758558539272	0.0010960417728980083	0.27364001217986483	0.7814045053996066	0.21859549460039462	0.08464105155840378	-43.68367177492566	0.1591778368656328	0.6420358365408351	0.0761329673058615	22.93665118604992	1.0	-3.891820298110627	5.300000000000267	
28	-1968.8284320238872	-1915.5923700044143	-53.23606201947281	-258.2390323649304	-1009.2190023546455	-565.4781562744324	-82.65617901040595	29.12474198408305	0.6200421984230567	1.04458212017861	1.197820930961589	0.5804324446343646	0.0010030825685182288	0.31213518733536877	0.74025202827782	0.25974797172218134	0.06420734006726202	-47.335122694588726	0.038771042393803724	0.8733004008722196	0.017646894051711184	30.801886208251616	1.0	-3.891820298110627	5.300000000000274	
29	-1968.8284320238872	-1915.5923700044143	-53.23606201947281	-258.2390323649304	-1009.2190023546455	-565.4781562744324	-82.65617901040595	29.12474198408305	0.6200421984230567	1.04458212017861	1.197820930961589	0.5804324446343646	0.0010030825685182288	0.31213518733536877	0.74025202827782	0.25974797172218134	0.06420734006726202	-47.335122694588726	0.038771042393803724	0.8733004008722196	0.017646894051711184	30.801886208251616	1.0	-3.891820298110627	5.300000000000274	
30	-1977.7787061367246	-1915.472625117162	-62.30608101956267	-262.91936571984985	-1005.7153326402602	-565.3002679395564	-81.53765881749534	31.598989689441463	0.43462754775142337	0.9601526572426171	1.421119945748347	0.6409117432751961	0.027613660770515188	0.1872227674439762	0.7889261851495599	0.21107381485044116	0.056312519856971666	-56.903213285310045	0.09927967815878377	0.5686686782365444	0.09948617806166304	35.799514006587124	1.0	-3.891820298110627	5.300000000000299	
31	-1989.3248545336307	-1913.7018708908201	-75.62298364281052	-257.5579627505705	-1013.7933336398055	-560.307235506812	-82.04333899363223	64.54636062439535	0.42063039658247126	1.0737551681178104	1.174260129000492	1.0421679903069887	0.016073934285544267	0.15091892619714406	0.771513935917796	0.22848606408220495	0.04264095123331789	-70.42852487038894	0.062208356521932615	0.714805898955075	0.01187724794110736	88.27671696392213	0.0	-3.891820298110627	5.300000000000296	
32	-1989.3248545336307	-1913.7018708908201	-75.62298364281052	-257.5579627505705	-1013.7933336398055	-560.307235506812	-82.04333899363223	64.54636062439535	0.42063039658247126	1.0737551681178104	1.174260129000492	1.0421679903069887	0.016073934285544267	0.15091892619714406	0.771513935917796	0.22848606408220495	0.04264095123331789	-70.42852487038894	0.062208356521932615	0.714805898955075	0.01187724794110736	88.27671696392213	0.0	-3.891820298110627	5.300000000000296	
33	-1989.3248545336307	-1913.7018708908201	-75.62298364281052	-257.5579627505705	-1013.7933336398055	-560.307235506812	-82.04333899363223	64.54636062439535	0.42063039658247126	1.0737551681178104	1.174260129000492	1.0421679903069887	0.016073934285544267	0.15091892619714406	0.771513935917796	0.22848606408220495	0.04264095123331789	-70.42852487038894	0.062208356521932615	0.714805898955075	0.01187724794110736	88.27671696392213	0.0	-3.891820298110627	5.300000000000296	
34	-1984.3847071378802	-1913.3461142262997	-71.03859291158048	-253.93755458230783	-1012.4739205199272	-565.8862109517462	-81.04842817231861	52.976699847450966	0.49261701809373354	1.1048035214369984	1.1739828380839814	0.5723622553506975	0.009162329081333414	0.24628571443762404	0.7681905916141187	0.23180940838588232	0.043673828076874054	-65.36933541371181	0.06530181531391255	0.6460950425434943	0.02200657436220151	59.61797111045205	0.0	-3.891820298110627	5.300000000000303	
35	-1972.8662770615742	-1913.2036995075775	-59.662577553996655	-264.876088422589	-997.6928683404833	-568.3578768427358	-82.2768659017695	34.367117622945756	0.5274896248825233	0.998366825464894	1.2352311901218394	1.0398347991133665	0.009120762572677332	0.2426074198595718	0.7477838906979601	0.2522161093020409	0.051684691410538906	-54.00798322148208	0.1301011581519931	0.6354760529471242	0.017903986757082803	39.471606272430584	1.0	-3.891820298110627	5.30000000000031	
36	-1972.8662770615742	-1913.2036995075775	-59.662577553996655	-264.876088422589	-997.6928683404833	-568.3578768427358	-82.2768659017695	34.367117622945756	0.5274896248825233	0.998366825464894	1.2352311901218394	1.0398347991133665	0.009120762572677332	0.2426074198595718	0.7477838906979601	0.2522161093020409	0.051684691410538906	-54.00798322148208	0.1301011581519931	0.6354760529471242	0.017903986757082803	39.471606272430584	1.0	-3.891820298110627	5.30000000000031	
