Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	ucldMean.c:clock	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
20	-1985.9529324136308	-1934.598810155863	-51.35412225776773	-1934.598810155863	14.192965052841142	1.0	0.02939664227218677	0.16486546813189865	0.7764637293414525	0.22353627065854664	0.07265115132121401	0.5558394459761119	0.07140132239337257	0.002010226520507504	0.6611852517920231	-44.91032746638625	0.28019353209810766	0.1850024702474871	0.17559470544241335	15.372349090944423	1.0	-3.891820298110627	5.300000000000335	
21	-1990.0136368661065	-1934.5399025791396	-55.473734286966874	-1934.5399025791396	11.035319730554765	1.0	0.02049246258368281	0.16123670382324684	0.7736353471295643	0.22636465287043414	0.13184806847036656	1.538914585639001	0.08440157359882436	0.029027201882108788	1.7179701356783388	-46.00842707356884	0.3033206649392495	0.18227925558432115	0.02245968484724796	11.518049713171404	0.0	-3.891820298110627	5.3000000000003356	
22	-1990.0136368661065	-1934.5399025791396	-55.473734286966874	-1934.5399025791396	11.035319730554765	1.0	0.02049246258368281	0.16123670382324684	0.7736353471295643	0.22636465287043414	0.13184806847036656	1.538914585639001	0.08440157359882436	0.029027201882108788	1.7179701356783388	-46.00842707356884	0.3033206649392495	0.18227925558432115	0.02245968484724796	11.518049713171404	0.0	-3.891820298110627	5.3000000000003356	
23	-1965.2946392499732	-1933.9242224970408	-31.370416752932385	-1933.9242224970408	6.353566022025509	1.0	0.02370214273577521	0.1506271167596884	0.749152448274301	0.2508475517256977	0.2188632060600437	1.1032118941749929	0.20196718921110984	0.05263406436446959	1.0775069094331362	-23.264959793295176	0.6012087754043256	0.4173669641860649	0.0722066096760059	6.901991667950049	1.0	-3.891820298110627	5.300000000000334	
24	-1965.2946392499732	-1933.9242224970408	-31.370416752932385	-1933.9242224970408	6.353566022025509	1.0	0.02370214273577521	0.1506271167596884	0.749152448274301	0.2508475517256977	0.2188632060600437	1.1032118941749929	0.20196718921110984	0.05263406436446959	1.0775069094331362	-23.264959793295176	0.6012087754043256	0.4173669641860649	0.0722066096760059	6.901991667950049	1.0	-3.891820298110627	5.300000000000334	
25	-1965.2946392499732	-1933.9242224970408	-31.370416752932385	-1933.9242224970408	6.353566022025509	1.0	0.02370214273577521	0.1506271167596884	0.749152448274301	0.2508475517256977	0.2188632060600437	1.1032118941749929	0.20196718921110984	0.05263406436446959	1.0775069094331362	-23.264959793295176	0.6012087754043256	0.4173669641860649	0.0722066096760059	6.901991667950049	1.0	-3.891820298110627	5.300000000000334	
26	-1986.1851180430704	-1933.6982995040087	-52.486818539061616	-1933.6982995040087	10.622131794048551	1.0	0.0037960894230744165	0.18202606338973726	0.7709686424279392	0.22903135757205934	0.09180669462596767	0.7651157645102425	0.08066346064980819	0.0045587758923219205	0.8239967808938072	-45.25213164521162	0.24915527922942599	0.3627379604037798	0.1052037321243857	12.296442587785162	1.0	-3.891820298110627	5.300000000000338	
27	-1993.480308601818	-1933.052147672192	-60.42816092962603	-1933.052147672192	14.874869623214709	1.0	0.010310807574749696	0.1915304187108966	0.7439512059801517	0.2560487940198468	0.06453455133762784	0.8708502642233646	0.07379655974321224	0.00572264599067749	1.0889752497443197	-52.80771180667437	0.07226272505867753	0.7361459827539292	0.04299823857809207	16.46930843279016	1.0	-3.891820298110627	5.300000000000336	
28	-1972.015308114197	-1932.965375377294	-39.04993273690306	-1932.965375377294	8.873911698645232	1.0	0.028841717512404212	0.21961965560374586	0.769675010380911	0.2303249896190873	0.1849050411085453	0.9668193583943939	0.11368188094801486	0.010222467943831514	0.8260821050188829	-30.997241905480617	0.39428843508515354	0.3649632790052483	0.014559973350917878	9.923235491473143	1.0	-3.891820298110627	5.300000000000337	
29	-1955.8126569155704	-1932.048664277761	-23.763992637809487	-1932.048664277761	5.6306244771892136	1.0	0.013635671469498447	0.2612734547413837	0.7620592299230595	0.23794077007693865	0.18675653238812173	0.8448026102739628	0.1811743458239204	0.02858470991025524	0.9370604874777191	-15.92376073939384	0.4166693107236546	0.7425615865903373	0.009866233136667145	5.739392821750609	0.0	-3.891820298110627	5.300000000000341	
30	-1955.8126569155704	-1932.048664277761	-23.763992637809487	-1932.048664277761	5.6306244771892136	1.0	0.013635671469498447	0.2612734547413837	0.7620592299230595	0.23794077007693865	0.18675653238812173	0.8448026102739628	0.1811743458239204	0.02858470991025524	0.9370604874777191	-15.92376073939384	0.4166693107236546	0.7425615865903373	0.009866233136667145	5.739392821750609	0.0	-3.891820298110627	5.300000000000341	
31	-1955.8126569155704	-1932.048664277761	-23.763992637809487	-1932.048664277761	5.6306244771892136	1.0	0.013635671469498447	0.2612734547413837	0.7620592299230595	0.23794077007693865	0.18675653238812173	0.8448026102739628	0.1811743458239204	0.02858470991025524	0.9370604874777191	-15.92376073939384	0.4166693107236546	0.7425615865903373	0.009866233136667145	5.739392821750609	0.0	-3.891820298110627	5.300000000000341	
32	-1994.5505757101637	-1931.9189485649279	-62.63162714523571	-1931.9189485649279	14.672376785156661	1.0	0.0367597875757948	0.1442522147938686	0.7665225886150274	0.23347741138497072	0.0738270735600216	1.2015314743287693	0.05612832882685038	0.010293350812550405	1.428363225997113	-54.27113620018414	0.2962128730368892	0.10058282432838643	0.36228532055991025	15.500236157814978	1.0	-3.891820298110627	5.3000000000003435	
33	-1994.5505757101637	-1931.9189485649279	-62.63162714523571	-1931.9189485649279	14.672376785156661	1.0	0.0367597875757948	0.1442522147938686	0.7665225886150274	0.23347741138497072	0.0738270735600216	1.2015314743287693	0.05612832882685038	0.010293350812550405	1.428363225997113	-54.27113620018414	0.2962128730368892	0.10058282432838643	0.36228532055991025	15.500236157814978	1.0	-3.891820298110627	5.3000000000003435	
34	-1970.5267349631363	-1931.4321069768837	-39.094627986252604	-1931.4321069768837	8.379718499947423	1.0	0.04094940648419705	0.16992038359438302	0.7722470172567197	0.22775298274327854	0.1452873226625479	1.0832433918615965	0.14262307361730286	0.046321870794525905	1.4123875863662392	-30.933442182012442	0.5280478750613952	0.3882248535054597	0.11759007160688835	8.870958598254358	0.0	-3.891820298110627	5.300000000000337	
35	-2002.165920784545	-1931.3187678088943	-70.84715297565072	-1931.3187678088943	17.867943285515363	1.0	0.017233656462836883	0.26621105864653344	0.7512109952917506	0.2487890047082477	0.03731573392734934	0.7550568574221691	0.03763020333468205	5.242931551643324E-4	0.6637339825686349	-63.27534708465692	0.2175865312399818	0.06250976547714823	0.12449658277797497	29.47808483187836	1.0	-3.891820298110627	5.30000000000034	
36	-2000.2918151324388	-1930.7844145940735	-69.50740053836529	-1930.7844145940735	16.997616887371727	1.0	0.022599735067039984	0.2438072943638283	0.7506932926785396	0.2493067073214585	0.046552043300434685	0.9281333414588545	0.03703617555680045	0.0028004154112708903	1.1942751405287746	-61.47313389410427	0.18453200743836218	0.03674212875728628	0.5714596328560629	19.485765377756156	1.0	-3.891820298110627	5.30000000000034	
37	-2000.2918151324388	-1930.7844145940735	-69.50740053836529	-1930.7844145940735	16.997616887371727	1.0	0.022599735067039984	0.2438072943638283	0.7506932926785396	0.2493067073214585	0.046552043300434685	0.9281333414588545	0.03703617555680045	0.0028004154112708903	1.1942751405287746	-61.47313389410427	0.18453200743836218	0.03674212875728628	0.5714596328560629	19.485765377756156	1.0	-3.891820298110627	5.30000000000034	
